PrimaryPropertyType,YearBuilt,NumberofBuildings,NumberofFloors,LargestPropertyUseType,LargestPropertyUseTypeGFA,ENERGYSTARScore,SiteEnergyUseWN(kBtu),TotalGHGEmissions
Large Office,2002,1.0,5,Office,145754.0,93.0,7046345.5,49.12
Large Office,1980,1.0,18,Office,348270.0,79.0,24224888.0,168.88
Large Office,1988,1.0,20,Office,367623.0,65.0,0.0,197.19
Large Office,1979,1.0,24,Office,424044.0,79.0,26144226.0,176.43
Mixed Use Property,1980,1.0,4,Other,42389.0,,8381544.5,91.13
Large Office,1982,1.0,6,Office,274002.0,64.0,20179120.0,141.95
Large Office,2002,1.0,6,Office,191814.0,74.0,14913424.0,103.97
Large Office,1947,1.0,3,Office,146157.0,94.0,5569686.0,46.03
Large Office,1984,1.0,8,Office,158681.0,3.0,29949248.0,208.79
Other,1956,1.0,1,Supermarket/Grocery Store,61666.0,54.0,14736775.0,384.27
Large Office,1912,1.0,42,Office,245028.0,72.0,24880988.0,741.3
Large Office,1927,1.0,8,Office,166919.0,76.0,14072349.0,355.05
Large Office,1964,1.0,22,Office,256299.0,77.0,19730534.0,530.66
Hotel,1923,1.0,12,Hotel,542305.0,45.0,57051236.0,2573.75
Retail Store,1980,1.0,2,Retail Store,191940.0,80.0,12080064.0,162.45
Other,2009,1.0,5,Parking,74831.0,,3085814.0,21.51
Large Office,2001,1.0,5,Office,103494.0,60.0,5803409.0,40.46
Warehouse,1973,1.0,1,Non-Refrigerated Warehouse,49395.0,2.0,4243867.0,70.47
Warehouse,1959,1.0,2,Non-Refrigerated Warehouse,29001.0,55.0,5095134.5,156.67
Large Office,1916,1.0,6,Office,305233.0,90.0,18102026.0,224.36
Large Office,1988,1.0,55,Office,886524.7200000013,92.0,55140300.0,588.9
Hotel,1930,1.0,21,Hotel,310000.0,58.0,34527356.0,1510.85
Large Office,1989,1.0,46,Office,886524.7200000013,89.0,58506844.0,530.18
Large Office,1958,1.0,10,Office,144570.0,91.0,6771618.5,193.72
Retail Store,1914,1.0,4,Retail Store,35694.0,25.0,5171529.0,36.61
Large Office,1984,1.0,6,Office,83485.0,45.0,7335905.5,51.14
Large Office,1910,1.0,10,Office,87391.0,49.0,11792293.0,318.08
Small- and Mid-Sized Office,1920,1.0,8,Office,41958.0,,2586116.0,18.03
Large Office,1929,1.0,14,Office,124508.0,89.0,6825027.0,202.99
Large Office,1929,1.0,15,Office,125473.0,84.0,0.0,238.09
Small- and Mid-Sized Office,1906,1.0,4,Office,56747.0,72.0,3564626.75,74.83
Large Office,1927,1.0,10,Office,87925.0,80.0,7163323.5,48.54
Other,1996,1.0,6,Parking,64821.0,,9671619.0,185.03
Large Office,1980,1.0,36,Office,748011.0,96.0,27340878.0,216.43
Large Office,1971,1.0,21,Office,342952.0,74.0,20421248.0,135.23
Small- and Mid-Sized Office,1999,1.0,4,Office,70090.0,72.0,4549892.0,31.72
Large Office,1998,1.0,11,Office,150969.0,72.0,13329024.0,92.92
Other,1985,1.0,12,Other,146689.0,,14436982.0,100.65
Small- and Mid-Sized Office,1925,1.0,4,Office,38880.0,83.0,2500323.75,44.48
Retail Store,1929,1.0,8,Retail Store,509342.0,,17666646.0,328.83
Other,1999,1.0,5,Other,206950.0,,19105426.0,249.09
Other,1990,1.0,6,Other,886524.7200000013,,0.0,0.0
Other,1988,1.0,9,Other,46710.0,,4439795.5,130.69
Other,1945,1.0,3,Medical Office,162000.0,65.0,14009703.0,201.15
Other,1992,1.0,14,Medical Office,270384.0,58.0,21156670.0,147.49
Mixed Use Property,2001,1.0,6,Parking,164332.0,100.0,55073120.0,456.22
Mixed Use Property,2001,1.0,6,Parking,104922.0,100.0,75073888.0,530.59
Hotel,1979,1.0,5,Hotel,109017.0,34.0,9707963.0,243.66
Large Office,1981,1.0,5,Office,228504.0,77.0,16373232.0,114.14
Warehouse,2001,1.0,1,Non-Refrigerated Warehouse,123061.0,59.0,1987934.625,13.86
Warehouse,1963,1.0,1,Non-Refrigerated Warehouse,106001.0,93.0,763364.5,5.32
Other,1960,1.0,1,Distribution Center,118733.0,97.0,775864.1875,5.44
Large Office,2001,1.0,7,Office,82098.0,81.0,4342597.0,30.27
Small- and Mid-Sized Office,1984,1.0,6,Office,95721.0,95.0,3155171.75,21.36
Large Office,1996,2.0,5,Office,105563.0,83.0,5661689.5,39.47
Large Office,2001,1.0,3,Office,63199.0,7.0,11672252.0,374.92
Small- and Mid-Sized Office,1974,1.0,5,Office,71751.0,56.0,5531460.0,35.8
Small- and Mid-Sized Office,1979,1.0,6,Office,85339.0,53.0,6353294.0,42.03
Small- and Mid-Sized Office,1979,1.0,4,Office,53730.0,20.0,4742869.0,33.06
Small- and Mid-Sized Office,1960,1.0,3,Office,55593.0,55.0,4414587.0,93.23
Large Office,1982,1.0,4,Office,72066.0,54.0,4899096.0,32.73
Retail Store,2005,1.0,1,Retail Store,158415.0,25.0,23293664.0,454.49
Large Office,1929,1.0,8,Office,155985.0,,48037000.0,349.07
Other,1975,1.0,8,Other,158738.0,,61214744.0,1268.87
Small- and Mid-Sized Office,1985,1.0,4,Office,58195.0,81.0,3018140.75,20.86
Other,1928,1.0,3,Other,54880.0,,12072969.0,269.71
Other,2003,1.0,4,Other,176171.0,,34746128.0,849.83
Large Office,2004,1.0,6,Office,79384.0,96.0,3238216.0,22.57
Warehouse,1914,1.0,5,Non-Refrigerated Warehouse,127800.0,56.0,2811924.5,29.53
Large Office,2002,1.0,5,Office,372503.0,71.0,30401640.0,632.4
Large Office,2001,1.0,6,Office,131592.0,49.0,11812678.0,94.64
Mixed Use Property,2003,1.0,5,Other,72407.0,,31915486.0,726.96
Large Office,2006,1.0,4,Office,113803.0,97.0,6917478.5,122.68
Large Office,2006,1.0,6,Office,178628.0,97.0,7554767.0,69.59
Mixed Use Property,1954,1.0,3,Non-Refrigerated Warehouse,29732.0,66.0,3066491.25,74.1
Other,1963,1.0,4,Other,103135.0,,24903228.0,587.16
Small- and Mid-Sized Office,1974,1.0,5,Office,64752.0,80.0,3558562.5,23.81
Small- and Mid-Sized Office,1970,1.0,5,Office,66747.0,86.0,3705629.0,24.35
Small- and Mid-Sized Office,1971,1.0,5,Office,69691.0,75.0,0.0,24.29
Other,1988,1.0,4,Medical Office,108344.0,5.0,19718338.0,477.87
Other,1994,1.0,4,Medical Office,95995.0,21.0,8422861.0,77.99
Other,2000,1.0,7,Other,215602.0,23.0,43178016.0,1032.63
Other,1995,1.0,2,Supermarket/Grocery Store,121087.0,78.0,14843382.0,277.98
Other,2008,1.0,1,Supermarket/Grocery Store,63225.0,100.0,6522551.5,45.47
Warehouse,1999,1.0,1,Non-Refrigerated Warehouse,325424.0,100.0,1396082.25,41.8
Other,2001,1.0,3,Parking,156312.0,,11521702.0,80.32
Other,1952,1.0,3,Other,72000.0,,6876439.5,47.94
Retail Store,1997,1.0,1,Retail Store,107931.0,72.0,8949319.0,110.46
Other,1964,4.180000000000064,1,Other,124231.0,,10079993.0,226.43
Retail Store,1967,1.0,1,Retail Store,57805.0,79.0,17225444.0,553.27
Other,1997,1.0,1,Supermarket/Grocery Store,50065.0,78.0,8901074.0,158.92
Large Office,1988,1.0,3,Office,96504.0,73.0,4991360.5,34.9
Small- and Mid-Sized Office,2000,1.0,4,Office,90000.0,84.0,3897738.0,27.17
Small- and Mid-Sized Office,2001,1.0,3,Office,62232.0,70.0,5413418.0,37.74
Large Office,1999,1.0,3,Office,152579.0,96.0,11325513.0,94.47
Large Office,1999,1.0,4,Office,138995.0,89.0,8651835.0,85.01
Large Office,1982,1.0,5,Office,243018.0,95.0,7683885.0,53.57
Warehouse,1967,1.0,2,Non-Refrigerated Warehouse,70000.0,87.0,1468317.375,17.17
Retail Store,1966,1.0,1,Retail Store,50200.0,,1193084.5,32.22
Small- and Mid-Sized Office,1925,1.0,6,Office,53993.0,,5055586.0,120.24
Other,2008,1.0,5,Parking,182454.0,,17628306.0,413.35
Other,1988,1.0,4,Self-Storage Facility,130293.0,,465533.3125,3.25
Warehouse,1997,1.0,4,Non-Refrigerated Warehouse,106041.0,94.0,1254908.5,25.58
Large Office,2002,1.0,10,Office,150840.0,88.0,7783714.5,53.25
Warehouse,1966,1.0,1,Non-Refrigerated Warehouse,22780.0,33.0,402051.3125,2.8
Other,1967,1.0,1,Distribution Center,124423.0,62.0,6345882.5,237.36
Large Office,1970,1.0,22,Office,227556.0,95.0,8950688.0,59.21
Other,1967,1.0,1,Distribution Center,49918.0,72.0,1751500.375,42.65
Other,1969,1.0,1,Distribution Center,57540.0,26.0,2808274.75,76.68
Warehouse,1966,1.0,1,Non-Refrigerated Warehouse,85400.0,49.0,1536998.25,10.72
Warehouse,1966,1.0,1,Non-Refrigerated Warehouse,55700.0,63.0,528115.6875,3.62
Small- and Mid-Sized Office,1964,1.0,1,Office,52759.0,96.0,1760992.25,46.93
Small- and Mid-Sized Office,1987,1.0,6,Office,78672.0,98.0,2220030.5,28.63
Warehouse,1986,1.0,3,Non-Refrigerated Warehouse,64660.0,89.0,333622.5938,6.32
Mixed Use Property,1927,1.0,2,Other,28442.0,,3774978.5,38.48
Other,1968,1.0,1,Distribution Center,162425.0,25.0,10093972.0,204.81
Other,1949,1.0,1,Distribution Center,101101.0,1.0,21341708.0,152.71
Other,1980,1.0,1,Distribution Center,59504.0,80.0,1231121.75,32.02
Other,1940,1.0,1,Other,45340.0,,5246590.0,74.31
Other,1953,1.0,1,Other,100000.0,,17427156.0,142.36
Other,2003,1.0,1,Supermarket/Grocery Store,51722.0,41.0,15076756.0,414.43
Other,1980,1.0,1,Supermarket/Grocery Store,44431.0,37.0,11311432.0,272.54
Large Office,2005,1.0,6,Office,217977.0,95.0,9200102.0,54.92
Retail Store,1996,1.0,4,Retail Store,98863.0,42.0,10443463.0,190.61
Small- and Mid-Sized Office,1970,1.0,1,Office,60732.0,89.0,3586460.5,90.24
Large Office,2006,1.0,3,Office,83715.0,26.0,6114351.5,49.17
Other,1926,1.0,3,Other,74864.0,,12232124.0,85.28
Warehouse,1991,1.0,2,Non-Refrigerated Warehouse,263528.0,92.0,8767252.0,262.45
Small- and Mid-Sized Office,1978,1.0,4,Office,50235.0,,4910799.5,33.85
Mixed Use Property,1928,1.0,1,Office,20000.0,,2758081.75,63.89
Large Office,1990,1.0,5,Office,78521.0,62.0,5318277.0,35.8
Retail Store,1950,1.0,2,Retail Store,302812.0,97.0,7783388.0,129.29
Small- and Mid-Sized Office,1974,1.0,5,Office,78200.0,53.0,9266020.0,293.55
Small- and Mid-Sized Office,1981,1.0,6,Office,86483.0,56.0,6636482.5,44.35
Other,1976,1.0,1,Distribution Center,34400.0,75.0,1196293.25,22.1
Warehouse,1968,1.0,1,Non-Refrigerated Warehouse,140520.0,61.0,2502923.5,57.73
Large Office,1986,1.0,5,Office,91645.0,95.0,4636396.5,58.88
Other,2005,1.0,3,Parking,91935.0,,7063953.5,49.28
Other,2005,1.0,3,Medical Office,60670.0,,4765753.5,33.22
Warehouse,1980,1.0,1,Non-Refrigerated Warehouse,50417.0,14.0,2149815.75,58.67
Other,1900,1.0,1,Other,43728.0,,11854450.0,611.19
Other,1961,1.0,3,Medical Office,133298.0,21.0,16041286.0,295.48
Retail Store,1965,1.0,2,Retail Store,173106.0,78.0,6718441.0,91.1
Large Office,2000,1.0,4,Office,103970.0,91.0,6486377.5,45.22
Other,2000,1.0,1,Other,51427.0,,1901429.125,49.9
Small- and Mid-Sized Office,1948,1.0,1,Office,53620.0,86.0,2145554.75,22.12
Small- and Mid-Sized Office,1938,1.0,1,Office,50008.0,62.0,3380481.5,65.3
Large Office,2009,1.0,4,Office,194674.0,98.0,6657348.5,49.74
Other,1971,1.0,1,Other,76486.0,70.0,2792753.5,20.29
Warehouse,1956,1.0,1,Non-Refrigerated Warehouse,98480.0,65.0,2898646.0,39.5
Mixed Use Property,2008,1.0,3,Office,66737.0,,22846738.0,640.71
Other,1920,1.0,3,Other,106003.0,,19419744.0,406.02
Small- and Mid-Sized Office,1970,1.0,7,Office,93905.0,70.0,5662234.0,39.47
Other,2002,1.0,1,Supermarket/Grocery Store,54434.0,32.0,13564414.0,306.5
Small- and Mid-Sized Office,1904,1.0,5,Office,78564.0,88.0,2830674.75,19.73
Small- and Mid-Sized Office,1906,1.0,7,Office,65088.0,64.0,6669621.5,134.69
Small- and Mid-Sized Office,1907,1.0,6,Office,63871.0,82.0,3020795.0,19.89
Small- and Mid-Sized Office,1900,1.0,4,Office,34647.0,87.0,2380143.75,76.8
Large Office,1900,1.0,4,Office,123607.0,79.0,7778893.0,130.31
Large Office,1907,1.0,7,Office,160580.0,98.0,4501784.0,99.59
Other,1906,1.0,3,Other,33647.0,,2031594.375,13.28
Mixed Use Property,1910,1.0,3,Office,26250.0,37.0,2462293.5,31.58
Other,1953,1.0,2,Other,50500.0,,4608482.0,132.6
Other,1962,1.0,2,Distribution Center,85343.0,56.0,3471977.25,74.18
Other,1941,2.0,2,Other,142901.0,,2244317.0,15.65
Large Office,1900,1.0,4,Office,104869.0,80.0,4374646.0,30.5
Other,1910,1.0,6,Distribution Center,51040.0,15.0,2688675.75,18.74
Other,1907,1.0,4,Distribution Center,39884.0,,1056782.125,7.37
Small- and Mid-Sized Office,1904,1.0,4,Office,43122.0,31.0,5550151.0,138.35
Small- and Mid-Sized Office,1909,1.0,6,Office,65508.0,81.0,2972492.75,20.18
Large Office,1904,1.0,7,Office,183916.0,81.0,9722890.0,67.78
Large Office,2009,1.0,7,Office,273812.0,43.0,25567108.0,182.14
Mixed Use Property,2009,1.0,6,Parking,111774.0,,63172816.0,445.62
Warehouse,1926,1.0,7,Non-Refrigerated Warehouse,144050.0,26.0,4347677.0,98.43
Small- and Mid-Sized Office,1930,1.0,3,Office,60384.0,16.0,5107519.5,47.25
Retail Store,1993,1.0,1,Retail Store,107704.0,57.0,7589347.5,100.42
Warehouse,1926,1.0,1,Non-Refrigerated Warehouse,99084.0,83.0,1838287.25,49.25
Small- and Mid-Sized Office,2001,1.0,6,Office,53281.0,2.0,8570571.0,59.75
Large Office,1991,1.0,5,Office,119083.0,41.0,8381834.5,58.43
Retail Store,1973,1.0,1,Retail Store,56576.0,66.0,2540840.5,67.29
Other,2004,1.0,0,Medical Office,200184.0,53.0,20764814.0,692.12
Large Office,2000,1.0,11,Office,303312.0,,25747022.0,185.39
Large Office,2005,1.0,42,Office,886524.7200000013,97.0,56785916.0,481.06
Small- and Mid-Sized Office,1926,1.0,6,Office,51881.0,,2478025.25,17.28
Other,1985,1.0,10,Medical Office,197408.0,46.0,17254810.0,190.1
Other,1987,1.0,7,Medical Office,113739.0,68.0,5739540.0,40.38
Other,2008,1.0,9,Medical Office,201365.0,58.0,14802479.0,130.32
Other,1973,1.0,19,Medical Office,170727.0,50.0,15490998.0,357.39
Large Office,1900,1.0,6,Office,114919.0,94.0,8455976.0,282.46
Small- and Mid-Sized Office,1900,1.0,6,Office,46000.0,55.0,3065954.5,21.37
Small- and Mid-Sized Office,1925,1.0,4,Office,72000.0,89.0,2739121.5,23.48
Large Office,2000,1.0,4,Office,103000.0,93.0,5101504.5,35.56
Other,2001,1.0,3,Other - Recreation,50000.0,,9596839.0,310.19
Other,1994,3.0,1,Other,107427.0,,21406232.0,530.62
Large Office,2008,1.0,14,Office,232443.0,86.0,15725581.0,116.95
Other,1994,3.0,2,Other,81385.0,,13360349.0,270.17
Large Office,2001,1.0,23,Office,366554.0,90.0,16339807.0,111.69
Other,1983,1.0,6,Parking,197040.0,,5233553.5,36.49
Small- and Mid-Sized Office,1982,1.0,5,Office,98668.0,91.0,4395027.0,30.61
Large Office,2007,1.0,1,Office,80157.0,12.0,9336260.0,98.54
Large Office,1978,1.0,1,Office,105100.0,1.0,22571400.0,357.86
Retail Store,1978,1.0,1,Retail Store,50660.0,51.0,2956254.5,60.7
Small- and Mid-Sized Office,1937,1.0,2,Office,39879.0,59.0,2421613.25,55.73
Large Office,2000,1.0,4,Office,104667.0,1.0,25478086.0,177.62
Small- and Mid-Sized Office,1925,1.0,3,Office,20565.0,65.0,830100.0,5.59
Large Office,2000,1.0,5,Office,106449.0,63.0,7857972.5,54.78
Large Office,2008,1.0,5,Office,133451.0,56.0,14856199.0,103.57
Large Office,1986,1.0,5,Office,109978.0,95.0,5799664.5,116.74
Large Office,1993,1.0,3,Office,171783.0,77.0,10445641.0,70.09
Large Office,2000,1.0,5,Office,126218.0,99.0,17186624.0,119.81
Warehouse,1912,1.0,5,Non-Refrigerated Warehouse,95330.0,81.0,1411471.75,8.8
Large Office,1918,1.0,6,Office,64055.0,,4682152.5,50.17
